country_code,country,year,indicator_name,indicator_variable,value
ARG,Argentina,2010,GDP growth (annual %),gdp_growth,10.1253981561002
ARG,Argentina,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.714
ARG,Argentina,2011,GDP growth (annual %),gdp_growth,6.00395169280579
ARG,Argentina,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.18
ARG,Argentina,2012,GDP growth (annual %),gdp_growth,-1.0264204544321
ARG,Argentina,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.217
ARG,Argentina,2013,GDP growth (annual %),gdp_growth,2.40532378079436
ARG,Argentina,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.1
ARG,Argentina,2014,GDP growth (annual %),gdp_growth,-2.51261532081394
ARG,Argentina,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.268
ARG,Argentina,2015,GDP growth (annual %),gdp_growth,2.73115982828944
ARG,Argentina,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.577
ARG,Argentina,2016,GDP growth (annual %),gdp_growth,-2.08032784377811
ARG,Argentina,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.088
ARG,Argentina,2017,GDP growth (annual %),gdp_growth,2.81850297775918
ARG,Argentina,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.347
ARG,Argentina,2018,GDP growth (annual %),gdp_growth,-2.61739646282038
ARG,Argentina,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.22
ARG,Argentina,2019,GDP growth (annual %),gdp_growth,-2.00086100285785
ARG,Argentina,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.843
ARG,Argentina,2020,GDP growth (annual %),gdp_growth,-9.9004848136464
ARG,Argentina,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,11.461
ARG,Argentina,2021,GDP growth (annual %),gdp_growth,10.4418119882506
ARG,Argentina,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.736
ARG,Argentina,2022,GDP growth (annual %),gdp_growth,6.02074537534855
ARG,Argentina,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.805
ARG,Argentina,2023,GDP growth (annual %),gdp_growth,-1.85578803046339
ARG,Argentina,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.139
ARG,Argentina,2024,GDP growth (annual %),gdp_growth,-1.34293072157739
ARG,Argentina,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.15
AUS,Australia,2010,GDP growth (annual %),gdp_growth,2.21004795300735
AUS,Australia,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.214
AUS,Australia,2011,GDP growth (annual %),gdp_growth,2.39473494330615
AUS,Australia,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.083
AUS,Australia,2012,GDP growth (annual %),gdp_growth,3.95247138119184
AUS,Australia,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.225
AUS,Australia,2013,GDP growth (annual %),gdp_growth,2.65445302592404
AUS,Australia,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.663
AUS,Australia,2014,GDP growth (annual %),gdp_growth,2.60118978187332
AUS,Australia,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.078
AUS,Australia,2015,GDP growth (annual %),gdp_growth,2.16434780647852
AUS,Australia,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.055
AUS,Australia,2016,GDP growth (annual %),gdp_growth,2.75564065529868
AUS,Australia,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.711
AUS,Australia,2017,GDP growth (annual %),gdp_growth,2.29331030192918
AUS,Australia,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.592
AUS,Australia,2018,GDP growth (annual %),gdp_growth,2.87417039499501
AUS,Australia,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.345
AUS,Australia,2019,GDP growth (annual %),gdp_growth,2.19401703622717
AUS,Australia,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.143
AUS,Australia,2020,GDP growth (annual %),gdp_growth,-0.133531904304775
AUS,Australia,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.394
AUS,Australia,2021,GDP growth (annual %),gdp_growth,2.00694844335034
AUS,Australia,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,5.022
AUS,Australia,2022,GDP growth (annual %),gdp_growth,4.25304559238732
AUS,Australia,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.728
AUS,Australia,2023,GDP growth (annual %),gdp_growth,3.58382100798981
AUS,Australia,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.668
AUS,Australia,2024,GDP growth (annual %),gdp_growth,1.37340773365975
AUS,Australia,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,3.942
BRA,Brazil,2010,GDP growth (annual %),gdp_growth,7.52822581815364
BRA,Brazil,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.42
BRA,Brazil,2011,GDP growth (annual %),gdp_growth,3.97442307944702
BRA,Brazil,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.578
BRA,Brazil,2012,GDP growth (annual %),gdp_growth,1.92117598576537
BRA,Brazil,2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.251
BRA,Brazil,2013,GDP growth (annual %),gdp_growth,3.00482266944432
BRA,Brazil,2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.071
BRA,Brazil,2014,GDP growth (annual %),gdp_growth,0.503955740242247
BRA,Brazil,2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.755
BRA,Brazil,2015,GDP growth (annual %),gdp_growth,-3.54576339269425
BRA,Brazil,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.538
BRA,Brazil,2016,GDP growth (annual %),gdp_growth,-3.27591690782192
BRA,Brazil,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,11.58
BRA,Brazil,2017,GDP growth (annual %),gdp_growth,1.32286905404399
BRA,Brazil,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,12.792
BRA,Brazil,2018,GDP growth (annual %),gdp_growth,1.783666761634
BRA,Brazil,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,12.329
BRA,Brazil,2019,GDP growth (annual %),gdp_growth,1.22077782360842
BRA,Brazil,2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,11.936
BRA,Brazil,2020,GDP growth (annual %),gdp_growth,-3.2767587964736
BRA,Brazil,2020,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,13.697
BRA,Brazil,2021,GDP growth (annual %),gdp_growth,4.76260437908608
BRA,Brazil,2021,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,13.158
BRA,Brazil,2022,GDP growth (annual %),gdp_growth,3.01669435393015
BRA,Brazil,2022,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,9.231
BRA,Brazil,2023,GDP growth (annual %),gdp_growth,3.24165532906981
BRA,Brazil,2023,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.947
BRA,Brazil,2024,GDP growth (annual %),gdp_growth,3.41931516501906
BRA,Brazil,2024,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,6.801
CAN,Canada,2010,GDP growth (annual %),gdp_growth,3.09080633744851
CAN,Canada,2010,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,8.178
CAN,Canada,2011,GDP growth (annual %),gdp_growth,3.1371944343876
CAN,Canada,2011,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment,7.637
